timestamp,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7
1758863100000,29.82857142857143,31.384615384615383,33.12,27.0,34.45161290322581,33.88235294117647,27.733333333333334,20.0
1758863400000,29.692307692307693,31.272727272727273,33.04347826086956,27.310344827586206,34.608695652173914,34.10526315789474,27.612903225806452,20.761904761904763
1758863700000,29.523809523809526,30.90909090909091,32.833333333333336,27.52,34.15384615384615,34.54545454545455,29.23076923076923,20.545454545454547
1758864000000,29.68421052631579,30.896551724137932,33.1764705882353,27.17241379310345,35.0,34.72727272727273,28.18181818181818,20.695652173913043
1758864300000,29.818181818181817,31.36,33.09090909090909,27.2,34.75,34.51851851851852,28.0,20.90909090909091
1758864600000,30.814814814814813,32.0,34.0,28.17391304347826,34.93333333333333,34.62068965517241,28.4,21.48148148148148
1758864900000,31.047619047619047,31.862068965517242,33.857142857142854,27.733333333333334,35.0,35.45454545454545,28.266666666666666,21.875
1758865200000,30.26086956521739,31.52,33.28,27.41176470588235,35.0,35.69230769230769,27.333333333333332,21.875
1758865500000,30.240000000000002,31.61904761904762,33.93103448275862,27.483870967741936,34.666666666666664,35.285714285714285,29.0,21.538461538461537
1758865800000,30.0,31.428571428571427,34.375,27.612903225806452,35.11111111111111,35.333333333333336,28.8,20.461538461538463
1758866100000,30.814814814814813,31.333333333333332,34.0,29.0,35.52,35.42857142857143,28.923076923076923,20.695652173913043
1758866400000,31.23076923076923,32.21052631578947,34.0,30.615384615384613,36.57142857142857,35.407407407407405,27.866666666666667,21.333333333333332
1758866700000,29.692307692307693,31.4,33.0,27.529411764705884,34.8,35.310344827586206,27.625,21.88235294117647
1758867000000,29.217391304347828,30.76923076923077,33.12,27.571428571428573,35.23076923076923,35.09090909090909,27.862068965517242,21.333333333333332
1758867300000,29.68421052631579,31.04,33.142857142857146,27.096774193548388,35.0,35.225806451612904,28.16,20.833333333333332
1758867600000,30.428571428571427,31.0,33.68421052631579,27.714285714285715,35.172413793103445,35.310344827586206,29.57142857142857,20.96
1758867900000,29.684210526315788,31.789473684210527,33.925925925925924,27.03030303030303,35.07692307692308,35.7037037037037,28.0,21.517241379310345
1758868200000,29.666666666666668,32.18181818181818,34.0,27.5,36.0,36.833333333333336,28.842105263157894,20.923076923076923
1758868500000,30.0,31.52,34.73684210526316,27.393939393939394,34.96774193548387,36.52173913043478,29.142857142857142,20.571428571428573
1758868800000,29.73913043478261,31.6,35.4,26.962962962962962,36.36363636363637,36.0,28.8,22.482758620689655
1758869100000,30.0,30.823529411764707,34.5,27.142857142857142,35.07692307692308,35.84,28.63157894736842,21.88235294117647
1758869400000,29.833333333333332,30.615384615384613,34.0,29.391304347826086,34.93333333333334,36.2,27.75,21.759999999999998
1758869700000,29.454545454545453,30.75862068965517,33.714285714285715,28.0,35.68,35.58620689655172,28.0,19.25925925925926
1758870000000,29.818181818181817,31.57894736842105,33.833333333333336,27.0,35.07692307692308,35.55555555555556,28.235294117647058,21.692307692307693
1758870300000,29.76,30.285714285714285,33.6,26.758620689655174,35.23076923076923,35.407407407407405,28.38095238095238,21.565217391304348
1758870600000,29.28,29.714285714285715,33.904761904761905,28.444444444444443,35.2,35.5,27.724137931034484,20.64
1758870900000,29.166666666666668,29.176470588235293,34.46153846153846,27.448275862068964,35.42857142857143,35.04,27.483870967741936,20.19047619047619
1758871200000,28.25,30.8,33.5,28.19047619047619,34.61538461538461,35.52,27.571428571428573,20.32
1758871500000,28.63157894736842,30.307692307692307,34.08,28.52173913043478,34.13333333333333,35.25925925925926,28.0,20.0
1758871800000,28.941176470588236,30.5,34.06896551724138,28.296296296296298,34.608695652173914,35.666666666666664,28.38095238095238,21.333333333333332
1758872100000,28.235294117647058,31.25925925925926,33.714285714285715,27.571428571428573,34.4,35.23076923076923,28.615384615384617,22.608695652173914
1758872400000,29.142857142857142,30.333333333333332,33.6,27.586206896551722,34.608695652173914,36.38095238095238,27.5,22.76923076923077
1758872700000,28.666666666666668,30.400000000000002,33.6,27.096774193548384,34.53333333333333,35.096774193548384,27.285714285714285,21.857142857142858
1758873000000,29.23076923076923,29.6,34.94736842105263,27.52,34.25,35.25925925925926,27.066666666666666,20.666666666666668
1758873300000,28.0,30.105263157894736,33.57142857142857,28.571428571428573,34.48275862068966,35.55555555555556,28.599999999999998,20.380952380952383
1758873600000,29.454545454545453,30.46153846153846,34.24,27.741935483870968,34.61538461538461,35.483870967741936,27.46666666666667,22.923076923076923
1758873900000,29.565217391304348,30.599999999999998,34.78260869565217,27.625,34.206896551724135,36.2,28.869565217391305,19.85185185185185
1758874200000,29.142857142857142,30.18181818181818,34.285714285714285,26.75,34.89655172413793,35.84615384615385,27.846153846153847,20.235294117647058
1758874500000,28.666666666666668,30.4,32.92307692307692,26.545454545454547,34.78787878787879,36.25,27.23076923076923,20.76923076923077
1758874800000,29.454545454545453,30.5,33.833333333333336,26.620689655172413,34.96296296296296,35.2,27.142857142857142,19.75
1758875100000,29.066666666666666,30.615384615384613,33.523809523809526,29.09090909090909,35.166666666666664,35.84,28.0,20.52173913043478
1758875400000,29.565217391304348,30.869565217391305,34.56,26.444444444444443,35.230769230769226,36.25,27.741935483870968,21.53846153846154
1758875700000,29.818181818181817,31.41176470588235,34.32258064516129,27.17241379310345,36.0,35.2,28.32,18.75
